,DDoS,Malware,Man-in-the-Middle,Phishing,Ransomware,SQL Injection
DDoS,17,17,20,24,15,13
Malware,25,17,9,18,20,8
Man-in-the-Middle,23,16,14,14,14,11
Phishing,17,21,17,20,12,19
Ransomware,13,13,19,17,23,14
SQL Injection,19,19,15,15,20,12
