,Random Forest,XGBoost
Acuracia,0.19,0.17166666666666666
Precisao (Macro),0.18806449133078715,0.17088178468380288
Recall (Macro),0.18858174618490242,0.17146858018317643
F1-Measure (Macro),0.18650260263081544,0.17069886372753032


