Modelo,Acurácia,Precisão (Macro),Recall (Macro),F1-Score (Macro)
Random Forest,0.19,0.18806449133078715,0.18858174618490242,0.18650260263081544
XGBoost,0.17166666666666666,0.17088178468380288,0.17146858018317643,0.17069886372753032
